id,topicname,keywords,occurence,occurence_yearly
0,topic 0,"[('function', 0.0090822185982406389), ('estim', 0.0087478560711702642), ('model', 0.006813197582350162), ('sampl', 0.0063770099726836353), ('method', 0.0060274188327157771), ('algorithm', 0.0054222581049843677), ('approxim', 0.005388521491646649), ('problem', 0.0053134718301868786), ('result', 0.0053067874250176568), ('matrix', 0.0052926723113181449), ('comput', 0.0052465375282535615), ('error', 0.0050696379737429726), ('distribut', 0.0050424329141882844), ('gaussian', 0.0040701007221734262), ('point', 0.0040508683421480425)]",1449,"[[1987, 114], [1988, 151], [1989, 160], [1990, 230], [1991, 227], [1992, 182], [1993, 252], [1994, 211], [1995, 262], [1996, 262], [1997, 261], [1998, 258], [1999, 251], [2000, 249], [2001, 341], [2002, 354], [2003, 331], [2004, 359], [2005, 353], [2006, 334], [2007, 376], [2008, 430], [2009, 437], [2010, 509], [2011, 483], [2012, 586], [2013, 600], [2014, 672], [2015, 660], [2016, 914]]"
1,topic 1,"[('network', 0.01671918043409476), ('neural', 0.0094864511030488038), ('input', 0.0094056831675621774), ('neuron', 0.0091266295251452162), ('function', 0.0068644536460820572), ('time', 0.0064372455642784342), ('model', 0.006226188643325528), ('weight', 0.0056506622506083863), ('output', 0.005593436677745884), ('unit', 0.0055442590946587099), ('activ', 0.0054734036365966347), ('comput', 0.005041564618300784), ('system', 0.0048869518546140571), ('figur', 0.004585275590065517), ('cell', 0.0041219423607569659)]",1530,"[[1987, 114], [1988, 151], [1989, 160], [1990, 230], [1991, 227], [1992, 182], [1993, 252], [1994, 211], [1995, 262], [1996, 262], [1997, 261], [1998, 258], [1999, 251], [2000, 249], [2001, 341], [2002, 354], [2003, 331], [2004, 359], [2005, 353], [2006, 334], [2007, 376], [2008, 430], [2009, 437], [2010, 509], [2011, 483], [2012, 586], [2013, 600], [2014, 672], [2015, 660], [2016, 914]]"
2,topic 2,"[('algorithm', 0.0076386180792393831), ('matrix', 0.0072431586676768014), ('cluster', 0.0064683303202853985), ('rank', 0.0057675495882588334), ('model', 0.0056243599144471705), ('result', 0.0056087045764581043), ('method', 0.0055174046663358104), ('sampl', 0.004834295566781349), ('function', 0.0046737782646011977), ('network', 0.004432435030007357), ('error', 0.0043522815041759973), ('estim', 0.0041096643215859634), ('point', 0.004024300753142228), ('comput', 0.0039818702874025768), ('problem', 0.0038946833731776081)]",770,"[[1987, 114], [1988, 151], [1989, 160], [1990, 230], [1991, 227], [1992, 182], [1993, 252], [1994, 211], [1995, 262], [1996, 262], [1997, 261], [1998, 258], [1999, 251], [2000, 249], [2001, 341], [2002, 354], [2003, 331], [2004, 359], [2005, 353], [2006, 334], [2007, 376], [2008, 430], [2009, 437], [2010, 509], [2011, 483], [2012, 586], [2013, 600], [2014, 672], [2015, 660], [2016, 914]]"
3,topic 3,"[('model', 0.017852149526039363), ('train', 0.012851093000523846), ('network', 0.012450744320919128), ('imag', 0.0084324096415695996), ('featur', 0.0062816198155130742), ('layer', 0.0056556218003897705), ('neural', 0.0055664301141623383), ('predict', 0.0049942585937811992), ('figur', 0.0049795036131280524), ('perform', 0.0049333262402561744), ('word', 0.0046126627256720606), ('input', 0.0044409715572934893), ('two', 0.0042729891657713398), ('object', 0.004266406082951626), ('system', 0.0042055621627450383)]",1222,"[[1987, 114], [1988, 151], [1989, 160], [1990, 230], [1991, 227], [1992, 182], [1993, 252], [1994, 211], [1995, 262], [1996, 262], [1997, 261], [1998, 258], [1999, 251], [2000, 249], [2001, 341], [2002, 354], [2003, 331], [2004, 359], [2005, 353], [2006, 334], [2007, 376], [2008, 430], [2009, 437], [2010, 509], [2011, 483], [2012, 586], [2013, 600], [2014, 672], [2015, 660], [2016, 914]]"
4,topic 4,"[('model', 0.024609339679634506), ('distribut', 0.0099646826074376825), ('sampl', 0.007034398887670195), ('paramet', 0.0062576794838811473), ('infer', 0.0062382367563208439), ('comput', 0.0055157222519698918), ('function', 0.0054983741893329082), ('algorithm', 0.0054797799137727733), ('estim', 0.0044885411977389385), ('number', 0.0042316179065006445), ('process', 0.0041905402423033514), ('method', 0.0040340391415030763), ('variabl', 0.0039696262164783383), ('network', 0.0039223719333172707), ('latent', 0.0039186454190232138)]",1127,"[[1987, 114], [1988, 151], [1989, 160], [1990, 230], [1991, 227], [1992, 182], [1993, 252], [1994, 211], [1995, 262], [1996, 262], [1997, 261], [1998, 258], [1999, 251], [2000, 249], [2001, 341], [2002, 354], [2003, 331], [2004, 359], [2005, 353], [2006, 334], [2007, 376], [2008, 430], [2009, 437], [2010, 509], [2011, 483], [2012, 586], [2013, 600], [2014, 672], [2015, 660], [2016, 914]]"
5,topic 5,"[('state', 0.012233793993574091), ('model', 0.010272064054421251), ('polici', 0.0081464251248416549), ('action', 0.0071122894632722087), ('time', 0.0070855933346802976), ('algorithm', 0.0069869370533565539), ('function', 0.0068317320682905565), ('valu', 0.0061210294268706162), ('optim', 0.0059996455481577679), ('reward', 0.0059877487010924777), ('problem', 0.0045729875516770449), ('distribut', 0.0045085702641559505), ('comput', 0.0043615696022373919), ('estim', 0.004359249029219899), ('probabl', 0.004154621153001848)]",840,"[[1987, 114], [1988, 151], [1989, 160], [1990, 230], [1991, 227], [1992, 182], [1993, 252], [1994, 211], [1995, 262], [1996, 262], [1997, 261], [1998, 258], [1999, 251], [2000, 249], [2001, 341], [2002, 354], [2003, 331], [2004, 359], [2005, 353], [2006, 334], [2007, 376], [2008, 430], [2009, 437], [2010, 509], [2011, 483], [2012, 586], [2013, 600], [2014, 672], [2015, 660], [2016, 914]]"
6,topic 6,"[('model', 0.0063180484162558975), ('imag', 0.0062529427261305195), ('network', 0.0059045095941192907), ('layer', 0.0056310152573939513), ('comput', 0.0044850444682770236), ('featur', 0.0044565743568419367), ('weight', 0.0041957488549219518), ('figur', 0.0041013746631979285), ('perform', 0.0039498195999158716), ('two', 0.0036535872894550366), ('object', 0.003645370935536409), ('train', 0.0036400007213882157), ('result', 0.0034788301354442791), ('differ', 0.0034279850639917296), ('algorithm', 0.0033678794261879767)]",535,"[[1987, 114], [1988, 151], [1989, 160], [1990, 230], [1991, 227], [1992, 182], [1993, 252], [1994, 211], [1995, 262], [1996, 262], [1997, 261], [1998, 258], [1999, 251], [2000, 249], [2001, 341], [2002, 354], [2003, 331], [2004, 359], [2005, 353], [2006, 334], [2007, 376], [2008, 430], [2009, 437], [2010, 509], [2011, 483], [2012, 586], [2013, 600], [2014, 672], [2015, 660], [2016, 914]]"
7,topic 7,"[('algorithm', 0.010534814480866919), ('problem', 0.0070039173004207457), ('function', 0.0063159226067531458), ('method', 0.0059128254877250149), ('imag', 0.0058896621063118841), ('kernel', 0.0053265019713726706), ('optim', 0.0051937571976910825), ('result', 0.0051530028139652176), ('featur', 0.0046874117058661839), ('train', 0.004685925181760941), ('comput', 0.0045896296373570764), ('object', 0.0041034825250034412), ('base', 0.0040207726993741087), ('dataset', 0.0039869876057612346), ('perform', 0.0039777227435557564)]",1430,"[[1987, 114], [1988, 151], [1989, 160], [1990, 230], [1991, 227], [1992, 182], [1993, 252], [1994, 211], [1995, 262], [1996, 262], [1997, 261], [1998, 258], [1999, 251], [2000, 249], [2001, 341], [2002, 354], [2003, 331], [2004, 359], [2005, 353], [2006, 334], [2007, 376], [2008, 430], [2009, 437], [2010, 509], [2011, 483], [2012, 586], [2013, 600], [2014, 672], [2015, 660], [2016, 914]]"
8,topic 8,"[('algorithm', 0.015723098422632538), ('optim', 0.0091976363462419556), ('bound', 0.0088920367172957357), ('function', 0.0081915059016012138), ('problem', 0.0071492335311713227), ('sampl', 0.004794735346400944), ('comput', 0.0046485830224333776), ('theorem', 0.0045998913875658258), ('case', 0.004581685570671571), ('method', 0.0045481528927263509), ('result', 0.0043590815655268319), ('time', 0.0041178284623522333), ('let', 0.0039881783310907141), ('converg', 0.0039837892453957746), ('log', 0.0038299754242649389)]",1254,"[[1987, 114], [1988, 151], [1989, 160], [1990, 230], [1991, 227], [1992, 182], [1993, 252], [1994, 211], [1995, 262], [1996, 262], [1997, 261], [1998, 258], [1999, 251], [2000, 249], [2001, 341], [2002, 354], [2003, 331], [2004, 359], [2005, 353], [2006, 334], [2007, 376], [2008, 430], [2009, 437], [2010, 509], [2011, 483], [2012, 586], [2013, 600], [2014, 672], [2015, 660], [2016, 914]]"
9,topic 9,"[('model', 0.017118314297264146), ('time', 0.0090238198305255136), ('network', 0.0073729738785756581), ('comput', 0.0058650006664611289), ('estim', 0.0054356158233773927), ('algorithm', 0.0044191876603099263), ('result', 0.0042750940844946388), ('distribut', 0.0042176548856752878), ('node', 0.0040839272554181209), ('variabl', 0.0039386830005346297), ('number', 0.0038607589581976251), ('two', 0.0036841723186738311), ('system', 0.0036633638170726936), ('infer', 0.0035694571494675402), ('figur', 0.0035175114673467586)]",652,"[[1987, 114], [1988, 151], [1989, 160], [1990, 230], [1991, 227], [1992, 182], [1993, 252], [1994, 211], [1995, 262], [1996, 262], [1997, 261], [1998, 258], [1999, 251], [2000, 249], [2001, 341], [2002, 354], [2003, 331], [2004, 359], [2005, 353], [2006, 334], [2007, 376], [2008, 430], [2009, 437], [2010, 509], [2011, 483], [2012, 586], [2013, 600], [2014, 672], [2015, 660], [2016, 914]]"
